level_0,Symbols,Close,High,Low,Open,Volume
04/01/2021,PBPB,4.35,4.51,4.25,4.43,92022
04/01/2021,SBUX,102.66,107.29,101.71,107.2,8075768
04/01/2021,CMG,1319.12,1390,1312.335,1386.68,514174
04/01/2021,WEN,21.284,21.882,21.254,21.833,2236194
04/01/2021,DPZ,378.5,382.29,376.03,382,665157
05/01/2021,PBPB,4.75,4.75,4.33,4.33,72236
05/01/2021,SBUX,103,103.82,102.36,102.48,5746265
05/01/2021,CMG,1355.11,1358.225,1316.91,1319.11,295148
05/01/2021,WEN,21.434,21.487,21.085,21.354,2496270
05/01/2021,DPZ,380.34,381.22,376.81,377.01,548753
06/01/2021,PBPB,4.88,5.08,4.6513,4.75,113574
06/01/2021,SBUX,103.75,104.76,102.47,102.55,5038825
06/01/2021,CMG,1343.41,1357.43,1335,1335.42,234176
06/01/2021,WEN,21.444,21.702,21.176,21.464,3054429
06/01/2021,DPZ,383.86,384.69,376.43,377.02,631390
07/01/2021,PBPB,4.84,5,4.785,4.94,33516
07/01/2021,SBUX,102.91,104.2,102.51,104.05,5078545
07/01/2021,CMG,1368.14,1378.71,1348.7001,1351,236756
07/01/2021,WEN,21.016,21.454,20.936,21.374,2729818
07/01/2021,DPZ,382.18,386.27,377.12,377.12,530375
08/01/2021,PBPB,4.87,4.87,4.52,4.81,92172
08/01/2021,SBUX,105.22,105.31,102.98,103.42,5894666
08/01/2021,CMG,1402.44,1410.51,1374.81,1378.81,368978
08/01/2021,WEN,21.414,21.603,20.846,21.094,2458584
08/01/2021,DPZ,387.81,387.92,380.19,381.28,492850
11/01/2021,PBPB,4.73,4.9,4.5982,4.82,44550
11/01/2021,SBUX,104.16,105.19,103.83,104.65,4276155
11/01/2021,CMG,1402.62,1421.58,1389.1093,1391.36,227139
11/01/2021,WEN,21.035,21.364,20.976,21.095,1815413
11/01/2021,DPZ,389.52,396.36,386.93,388.49,631464
12/01/2021,PBPB,4.86,4.93,4.66,4.7,59164
12/01/2021,SBUX,102.38,103.88,101.87,103.57,4351020
12/01/2021,CMG,1401.64,1414.3638,1388.69,1410,211284
12/01/2021,WEN,20.707,21.155,20.632,21.145,3048372
12/01/2021,DPZ,384.49,393.28,383.19,390.88,563465
13/01/2021,PBPB,4.98,5,4.8,4.8,43123
13/01/2021,SBUX,102.45,102.94,101.06,101.89,4824937
13/01/2021,CMG,1395,1407.515,1384.51,1404.73,186687
13/01/2021,WEN,20.498,20.722,20.398,20.707,2952844
13/01/2021,DPZ,380.86,386.87,380.82,383.99,444171
14/01/2021,PBPB,5.04,5.18,4.95,4.99,102749
14/01/2021,SBUX,101.39,103.75,101.28,103.36,4547592
14/01/2021,CMG,1411.8,1453.5,1397.69,1418.3,426602
14/01/2021,WEN,20.767,20.956,20.552,20.597,2505964
14/01/2021,DPZ,372.82,384.42,372.66,384.42,657498
15/01/2021,PBPB,4.9,5.03,4.82,4.95,46797
15/01/2021,SBUX,101.9,102.25,100.78,100.95,5546670
15/01/2021,CMG,1405.74,1417.77,1398.82,1405.24,208626
15/01/2021,WEN,21.553,21.827,20.637,20.737,4323777
15/01/2021,DPZ,374.25,376.24,370.37,373.82,496108
19/01/2021,PBPB,4.75,4.97,4.69,4.9,47751
19/01/2021,SBUX,102.11,103.16,100.91,102.36,6547371
19/01/2021,CMG,1429.48,1432.9,1392.195,1420.16,222747
19/01/2021,WEN,21.683,21.782,21.22,21.573,2562232
19/01/2021,DPZ,371.67,378.62,371.6,376.91,511768
20/01/2021,PBPB,4.67,4.9,4.53,4.7243,59442
20/01/2021,SBUX,105.01,105.4,101.77,101.98,5869138
20/01/2021,CMG,1480.62,1483.64,1437.4,1443.82,296208
20/01/2021,WEN,21.359,21.852,21.17,21.643,2841172
20/01/2021,DPZ,378.01,378.23,370.03,372.52,413843
21/01/2021,PBPB,4.9,4.96,4.58,4.7,47876
21/01/2021,SBUX,104.14,105.04,104.01,105.01,5757280
21/01/2021,CMG,1503.68,1508.7194,1476.5438,1477.2,298353
21/01/2021,WEN,21.145,21.474,21.115,21.314,1464298
21/01/2021,DPZ,380.12,381.74,375.01,378.01,502027
22/01/2021,PBPB,4.97,5.03,4.8074,4.87,42238
22/01/2021,SBUX,103.47,104.03,102.63,103.72,5253857
22/01/2021,CMG,1494.18,1507.49,1484.19,1492.32,228417
22/01/2021,WEN,20.757,21.155,20.617,21.035,2135654
22/01/2021,DPZ,379.37,380.57,374.87,380.57,342268
25/01/2021,PBPB,4.79,5.1099,4.75,5,83412
25/01/2021,SBUX,103.01,103.51,101.74,103.31,5030316
25/01/2021,CMG,1486.32,1510.19,1468.5,1504,198249
25/01/2021,WEN,20.657,20.828,20.438,20.727,3972744
25/01/2021,DPZ,377.5,382.99,375.66,380.24,425340
26/01/2021,PBPB,4.85,4.98,4.72,4.79,85970
26/01/2021,SBUX,104.25,104.76,102.8,102.96,7225884
26/01/2021,CMG,1489.25,1497.05,1481.4438,1493.75,128678
26/01/2021,WEN,20.976,21.095,20.418,20.657,3551742
26/01/2021,DPZ,377.85,379.99,373.02,377.51,583125
27/01/2021,PBPB,4.82,5,4.7001,4.74,141286
27/01/2021,SBUX,97.455,101.35,96.32,101.05,18216697
27/01/2021,CMG,1466.36,1498.22,1460,1480,276981
27/01/2021,WEN,20.568,21.254,20.398,21.075,4883099
27/01/2021,DPZ,375.92,380,370.07,375.88,637378
28/01/2021,PBPB,4.88,5.1799,4.8,4.81,156904
28/01/2021,SBUX,97.734,100.1,97.684,98.516,8905962
28/01/2021,CMG,1480.54,1501.73,1465.88,1471.12,234538
28/01/2021,WEN,20.538,20.856,20.118,20.607,2736722
28/01/2021,DPZ,370.63,377.25,365.54,377.25,765342
29/01/2021,PBPB,5.39,5.8699,4.81,5.05,546605
29/01/2021,SBUX,96.4,97.375,95.513,96.972,8237955
29/01/2021,CMG,1480,1502.4798,1471.14,1474.42,231520
29/01/2021,WEN,20.309,20.767,20.279,20.448,2272219
29/01/2021,DPZ,369.79,375.99,368.74,370.36,507680
01/02/2021,PBPB,5.43,5.95,5.35,5.79,173172
01/02/2021,SBUX,98.162,99.198,96.509,96.579,7236938
01/02/2021,CMG,1509.02,1516.69,1479.54,1495.1,255613
01/02/2021,WEN,20.339,20.558,20.179,20.428,4398214
01/02/2021,DPZ,370.45,375,367.29,369.03,472969
02/02/2021,PBPB,5.14,5.58,5.1,5.54,130311
02/02/2021,SBUX,101.22,102.05,98.364,98.63,6947112
02/02/2021,CMG,1523.05,1553.55,1521.6,1525.06,448511
02/02/2021,WEN,20.597,20.926,20.1,20.329,1999153
02/02/2021,DPZ,376.23,381.87,372.66,373.62,461551
03/02/2021,PBPB,5.39,5.54,5.14,5.14,107123
03/02/2021,SBUX,100.59,102.21,100.38,100.82,3951522
03/02/2021,CMG,1499.99,1529.5,1461.295,1495.02,648871
03/02/2021,WEN,20.642,20.788,20.458,20.667,4214411
03/02/2021,DPZ,372.35,378.85,371.02,375.69,496865
04/02/2021,PBPB,5.3,5.73,5.25,5.34,171638
04/02/2021,SBUX,103.2,103.8,100.68,100.93,6956254
04/02/2021,CMG,1479.55,1510.51,1474.06,1506,350153
04/02/2021,WEN,20.976,21.21,20.617,20.737,3163934
04/02/2021,DPZ,372.02,373.48,370.03,372.79,457682
05/02/2021,PBPB,5.18,5.43,5.17,5.36,50130
05/02/2021,SBUX,106.03,107.08,104.34,104.64,8106460
05/02/2021,CMG,1506.88,1513.6,1477.22,1487.22,313941
05/02/2021,WEN,21.145,21.319,21.001,21.055,1737879
05/02/2021,DPZ,376.24,381.1,372.51,373.09,520034
08/02/2021,PBPB,5.5,5.54,5.18,5.26,116666
08/02/2021,SBUX,105.81,106.08,104.89,105.97,4857222
08/02/2021,CMG,1504,1511.9,1491.7,1507.77,208802
08/02/2021,WEN,20.652,21.145,20.563,21.115,5773625
08/02/2021,DPZ,379.06,379.49,373.53,374.31,444717
09/02/2021,PBPB,5.34,5.665,5.28,5.57,114861
09/02/2021,SBUX,105.77,106.38,104.77,105.55,4112661
09/02/2021,CMG,1550.49,1564.91,1501.25,1501.25,384347
09/02/2021,WEN,20.971,21.175,20.627,20.807,2729923
09/02/2021,DPZ,381.96,383.29,378.05,379.3,400787
10/02/2021,PBPB,5.11,5.47,5.05,5.33,191254
10/02/2021,SBUX,105.42,106.45,104.49,106.33,4311462
10/02/2021,CMG,1544.66,1560.92,1525.25,1560.2,228920
10/02/2021,WEN,20.986,21.06,20.797,21.055,1460396
10/02/2021,DPZ,381.06,385.47,380.09,383.01,467164
11/02/2021,PBPB,4.98,5.12,4.95,5.1,124189
11/02/2021,SBUX,105.41,105.78,104.58,105.67,2988712
11/02/2021,CMG,1543.11,1548.525,1531.9,1543.3,168339
11/02/2021,WEN,20.777,21.006,20.538,20.996,1991562
11/02/2021,DPZ,384.19,384.93,379.99,382.26,463418
12/02/2021,PBPB,5,5.06,4.76,5.01,345406
12/02/2021,SBUX,104.85,105.49,104.28,105.29,3183309
12/02/2021,CMG,1527.7,1543.3568,1522,1540.19,139312
12/02/2021,WEN,20.946,20.956,20.578,20.757,1970544
12/02/2021,DPZ,384.16,387.03,381.31,384.06,356100
16/02/2021,PBPB,4.74,5,4.63,5,194305
16/02/2021,SBUX,105.7,106.14,104.26,104.44,4949033
16/02/2021,CMG,1484,1531,1476.46,1531,319601
16/02/2021,WEN,20.607,20.906,20.528,20.906,3062666
16/02/2021,DPZ,376.93,386.44,376.69,385.16,470792
17/02/2021,PBPB,4.73,4.8899,4.62,4.75,97807
17/02/2021,SBUX,104.44,105.46,104.15,105.105,5735722
17/02/2021,CMG,1459.5,1477.52,1442.94,1476.46,265552
17/02/2021,WEN,20.349,20.587,20.289,20.548,1454688
17/02/2021,DPZ,375.5,376.11,369.7,376.11,535707
18/02/2021,PBPB,4.8,4.84,4.66,4.78,89393
18/02/2021,SBUX,104.97,105.34,103.41,103.775,4098865
18/02/2021,CMG,1456.31,1466.04,1444,1448.16,174431
18/02/2021,WEN,20.737,20.881,20.14,20.259,2109685
18/02/2021,DPZ,376.15,377.91,373.48,374.68,304709
19/02/2021,PBPB,5.11,5.17,4.78,4.78,309339
19/02/2021,SBUX,103.37,105.28,103.22,104.75,4129146
19/02/2021,CMG,1473.09,1483.77,1457.0101,1468.6,244087
19/02/2021,WEN,20.568,20.816,20.448,20.777,1697005
19/02/2021,DPZ,370.49,377.25,370.03,377.09,502476
22/02/2021,PBPB,5.31,5.48,5.09,5.13,183278
22/02/2021,SBUX,101.81,102.99,101.75,102.99,5211754
22/02/2021,CMG,1430.54,1460.13,1429.17,1457.4,292928
22/02/2021,WEN,20.209,20.513,20.159,20.508,2951685
22/02/2021,DPZ,364.2,371.01,360.24,370.03,770898
23/02/2021,PBPB,4.9,4.9,4.795,4.9,148060
23/02/2021,SBUX,101.37,101.37,99.93,101.37,8738371
23/02/2021,CMG,1416.24,1422.99,1350,1410.81,376400
23/02/2021,WEN,20.12,20.368,19.96,20.199,2237201
23/02/2021,DPZ,365.78,368.06,357.42,363.05,640812
24/02/2021,PBPB,5.19,5.24,4.93,5.02,77051
24/02/2021,SBUX,104.38,104.51,100.6,101.16,7542690
24/02/2021,CMG,1449.06,1450.82,1398.9,1417.73,264591
24/02/2021,WEN,20.344,20.508,19.96,20.179,3566388
24/02/2021,DPZ,363.63,367.5,359.07,366.39,626456
25/02/2021,PBPB,5.04,5.27,4.91,5.24,206944
25/02/2021,SBUX,103.47,105.77,103.11,104,7534020
25/02/2021,CMG,1410.74,1447.96,1395.285,1446.75,236158
25/02/2021,WEN,19.97,20.423,19.901,20.408,2892379
25/02/2021,DPZ,338.11,343.28,330.35,339.11,2635559
26/02/2021,PBPB,4.99,5.19,4.9217,5.1,158681
26/02/2021,SBUX,108.03,109.48,103.68,104.15,15122850
26/02/2021,CMG,1442,1460.04,1411.85,1429.43,443577
26/02/2021,WEN,20.339,20.508,20.03,20.04,2894649
26/02/2021,DPZ,345.6,347.73,336.22,338.37,1344145
01/03/2021,PBPB,5.28,5.33,5,5.1,117415
01/03/2021,SBUX,106.87,110.47,106.54,108.6,7931631
01/03/2021,CMG,1484.95,1489.99,1444.83,1444.83,281363
01/03/2021,WEN,21.185,21.478,20.587,20.797,4018417
01/03/2021,DPZ,344.15,348.68,343.61,348.64,1160769
02/03/2021,PBPB,5.63,5.63,5.19,5.25,184649
02/03/2021,SBUX,107.2,108.2499,105.82,107.31,5016782
02/03/2021,CMG,1475.57,1506,1472.34,1493.41,258013
02/03/2021,WEN,21.205,21.324,20.906,21.235,5335095
02/03/2021,DPZ,342.11,346.59,340.05,344.66,593776
03/03/2021,PBPB,5.73,5.92,5.475,5.475,155289
03/03/2021,SBUX,106.22,107.96,106.12,106.94,5313426
03/03/2021,CMG,1408.22,1477.625,1405.39,1466.77,300586
03/03/2021,WEN,20.03,20.667,19.821,20.326,7533927
03/03/2021,DPZ,331.86,341.74,331.41,340.09,804298
04/03/2021,PBPB,5.75,5.76,5.25,5.73,199232
04/03/2021,SBUX,104.89,107.17,103.85,106.26,7211833
04/03/2021,CMG,1351.12,1408.295,1322.4,1402.71,507207
04/03/2021,WEN,19.38,20.4,19.07,20.4,5279441
04/03/2021,DPZ,329.66,338.03,325.8,332.06,770478
05/03/2021,PBPB,5.66,5.88,5.515,5.85,145065
05/03/2021,SBUX,105.2,106.06,102.75,106.06,5559905
05/03/2021,CMG,1332.28,1358.85,1256.265,1358.85,535337
05/03/2021,WEN,19.66,19.69,18.86,19.4,4736261
05/03/2021,DPZ,329.37,330.52,318.87,329.32,738079
08/03/2021,PBPB,5.67,5.91,5.5,5.66,117313
08/03/2021,SBUX,105.03,106.89,104.23,104.8,5119532
08/03/2021,CMG,1335,1361.89,1306.24,1332,333635
08/03/2021,WEN,20.71,20.845,19.73,19.73,11323252
08/03/2021,DPZ,332.64,335.72,324.78,329.13,993785
09/03/2021,PBPB,5.48,5.675,5.43,5.6,232143
09/03/2021,SBUX,106.55,107.97,105.83,106.28,5510948
09/03/2021,CMG,1427.61,1433.96,1369.97,1372.9,529260
09/03/2021,WEN,20.12,21.25,20.08,21.18,8094996
09/03/2021,DPZ,353.15,353.68,336.2,338.47,1408823
10/03/2021,PBPB,5.6,5.71,5.35,5.55,257472
10/03/2021,SBUX,107.78,109.07,106.96,107.22,6076974
10/03/2021,CMG,1416.67,1453.44,1404.46,1429.9,289845
10/03/2021,WEN,20.47,20.65,20.2,20.36,3701063
10/03/2021,DPZ,356.99,359.79,351.54,355.69,1586235
11/03/2021,PBPB,5.69,5.89,5.55,5.7,363561
11/03/2021,SBUX,107.32,108.57,107.26,108.41,4670732
11/03/2021,CMG,1462.06,1468.43,1436.315,1439.99,327479
11/03/2021,WEN,20.27,20.51,20.06,20.46,3433203
11/03/2021,DPZ,357.43,361.5,354.16,357.81,993194
12/03/2021,PBPB,5.8,6.2,5.57,5.74,902669
12/03/2021,SBUX,107.81,107.99,106.58,107.42,3356023
12/03/2021,CMG,1453.24,1458.56,1432,1448.8,209897
12/03/2021,WEN,20.51,20.64,20.16,20.27,3032581
12/03/2021,DPZ,361.11,361.63,353.23,353.73,683140
15/03/2021,PBPB,6.82,6.95,5.78,5.78,572928
15/03/2021,SBUX,108.9,108.95,107.06,107.89,7111401
15/03/2021,CMG,1485.61,1491.38,1449.09,1457,199138
15/03/2021,WEN,21.54,21.56,20.6,20.67,3337698
15/03/2021,DPZ,362.97,363.17,357.5,361.75,759836
16/03/2021,PBPB,6.72,6.88,6.53,6.68,262875
16/03/2021,SBUX,111.34,112.34,109.89,110.568,11376177
16/03/2021,CMG,1482.69,1511,1473.0291,1478,211959
16/03/2021,WEN,20.69,21.51,20.68,21.39,2179929
16/03/2021,DPZ,366.01,367.62,362.34,365.07,688022
17/03/2021,PBPB,6.76,6.85,6.57,6.63,228096
17/03/2021,SBUX,110.46,111.46,108.9327,111.31,10128448
17/03/2021,CMG,1478.6,1482.48,1445.25,1470,220775
17/03/2021,WEN,20.93,21.02,20.38,20.6,2113704
17/03/2021,DPZ,363.25,364.38,359.308,363.22,646534
