level_0,Symbols,Close,High,Low,Open,Volume
18/03/2021,PBPB,6.51,6.77,6.33,6.77,306618
18/03/2021,SBUX,107.62,110.27,107.5,109.28,7813431
18/03/2021,CMG,1429.36,1466,1425.45,1459.93,256036
18/03/2021,WEN,20.53,20.865,20.48,20.73,2194240
18/03/2021,DPZ,363.82,364.46,355.27,360.76,583881
19/03/2021,PBPB,6.05,6.55,6.035,6.53,269708
19/03/2021,SBUX,106.34,108.85,105.825,108.35,21452023
19/03/2021,CMG,1421.2,1443.37,1419.64,1437.96,360902
19/03/2021,WEN,20.65,20.76,20.3499,20.5,5129414
19/03/2021,DPZ,363.7,366.58,361.74,365.4,898240
22/03/2021,PBPB,6.09,6.315,5.86,6.03,182365
22/03/2021,SBUX,107.57,108.42,106,106.4,7605084
22/03/2021,CMG,1444.33,1460.34,1428.79,1437.47,233828
22/03/2021,WEN,20.72,20.75,20.38,20.5,2633187
22/03/2021,DPZ,369.32,370.32,363.5,363.71,555407
23/03/2021,PBPB,6.13,6.24,6.025,6.08,157200
23/03/2021,SBUX,106.25,107.9477,105.6738,107.74,5657840
23/03/2021,CMG,1451.29,1475,1444.51,1444.51,238371
23/03/2021,WEN,20.73,20.98,20.6,20.68,2404583
23/03/2021,DPZ,374.42,374.94,367.68,369.71,608518
24/03/2021,PBPB,6.16,6.37,6.1,6.23,132035
24/03/2021,SBUX,104.97,107.28,104.94,106.63,5731334
24/03/2021,CMG,1422.96,1459.1299,1419.89,1458.17,200090
24/03/2021,WEN,20.6,21.21,20.59,20.91,2690641
24/03/2021,DPZ,366.22,374.025,363.57,374.01,751445
25/03/2021,PBPB,6.16,6.17,5.95,6.11,103977
25/03/2021,SBUX,107.35,107.7,104.06,105.007,8149044
25/03/2021,CMG,1431.83,1436.72,1406.8,1414.55,282568
25/03/2021,WEN,20.7,20.82,20.37,20.5,3792764
25/03/2021,DPZ,367.6,368.45,364.01,366.12,627773
26/03/2021,PBPB,6.05,6.225,6.01,6.2,115272
26/03/2021,SBUX,109.9,110,107.175,107.25,6167570
26/03/2021,CMG,1445.48,1447.42,1407.5,1436.38,276636
26/03/2021,WEN,20.74,21.08,20.48,20.69,5077115
26/03/2021,DPZ,371.84,372.05,365.05,366.25,483105
29/03/2021,PBPB,5.95,6.19,5.9,6.01,149195
29/03/2021,SBUX,109.13,110.25,106.59,109.01,5167195
29/03/2021,CMG,1424.61,1449.56,1416.87,1435,185086
29/03/2021,WEN,20.515,20.8,20.325,20.7,4468506
29/03/2021,DPZ,372.08,377.975,370.03,372.41,460385
30/03/2021,PBPB,5.92,6.07,5.82,5.82,95538
30/03/2021,SBUX,110.27,110.45,108.28,108.42,4552862
30/03/2021,CMG,1406.33,1427.5,1401.72,1412,214660
30/03/2021,WEN,20.44,20.58,20.23,20.41,2096299
30/03/2021,DPZ,368.13,370.98,365.58,370.6,548906
31/03/2021,PBPB,5.91,6.05,5.56,5.58,485712
31/03/2021,SBUX,109.27,111.6199,109.19,110.33,6478401
31/03/2021,CMG,1420.82,1440.775,1415.26,1420.98,357662
31/03/2021,WEN,20.26,20.425,20.23,20.41,2184641
31/03/2021,DPZ,367.79,372.34,366.77,369.53,513664
01/04/2021,PBPB,6.33,6.43,5.86,5.91,432130
01/04/2021,SBUX,109.38,110.06,108.2,110.06,5792950
01/04/2021,CMG,1438.46,1454.43,1432.4,1438.15,202012
01/04/2021,WEN,20.74,20.77,20.27,20.34,2452493
01/04/2021,DPZ,373.38,376.73,367.48,370,567617
05/04/2021,PBPB,6.18,6.36,5.8,5.8,167979
05/04/2021,SBUX,111.02,111.35,109.87,109.91,6913105
05/04/2021,CMG,1452.09,1459.99,1441.83,1455.86,171275
05/04/2021,WEN,20.73,21.06,20.65,20.89,1192396
05/04/2021,DPZ,371.64,373.75,367.29,373,701947
06/04/2021,PBPB,6.13,6.3142,6.1,6.23,108625
06/04/2021,SBUX,113.15,113.82,111.095,111.38,6745242
06/04/2021,CMG,1487.48,1499,1457.05,1459.05,251008
06/04/2021,WEN,21.38,21.47,20.77,20.86,4101407
06/04/2021,DPZ,380.68,384,372.81,374.37,509976
07/04/2021,PBPB,6.08,6.3,6.01,6.12,165653
07/04/2021,SBUX,113.19,113.76,112.65,112.91,5629622
07/04/2021,CMG,1500.02,1546.74,1494.01,1503.68,523581
07/04/2021,WEN,21.46,21.69,21.24,21.35,2899799
07/04/2021,DPZ,382.3,383.97,377.35,380.25,282845
08/04/2021,PBPB,6.09,6.2931,6.0646,6.11,47064
08/04/2021,SBUX,113.04,113.96,112.6799,113.65,5011290
08/04/2021,CMG,1524.05,1530,1501,1514.83,229809
08/04/2021,WEN,21.53,21.55,21.37,21.55,2847750
08/04/2021,DPZ,383.92,387.01,381.15,385.5,362215
09/04/2021,PBPB,5.96,6.16,5.95,6.05,125921
09/04/2021,SBUX,113.18,113.27,111.97,112.91,4114258
09/04/2021,CMG,1531.42,1533.76,1503.32,1518.72,224849
09/04/2021,WEN,21.29,21.54,21.17,21.53,2022975
09/04/2021,DPZ,390.35,390.4325,382.68,382.87,440750
12/04/2021,PBPB,6.1,6.14,5.97,5.97,56878
12/04/2021,SBUX,113.81,113.89,112.77,113.02,4707805
12/04/2021,CMG,1539.5,1579.52,1529.16,1555.31,301928
12/04/2021,WEN,21.73,21.77,21.33,21.38,2241962
12/04/2021,DPZ,390.62,392.57,387.345,391.07,420291
13/04/2021,PBPB,6.11,6.15,5.97,6.12,126682
13/04/2021,SBUX,115.36,115.6,113.682,113.78,4607384
13/04/2021,CMG,1537.74,1559.33,1518.205,1549.75,235643
13/04/2021,WEN,21.71,21.745,21.395,21.62,1959749
13/04/2021,DPZ,394.93,397.33,391.08,392.22,495035
14/04/2021,PBPB,6.1,6.245,6.08,6.1,60397
14/04/2021,SBUX,115.16,116.235,114.72,115.22,3994551
14/04/2021,CMG,1516.66,1544,1510.35,1535.95,222732
14/04/2021,WEN,22.02,22.26,21.66,21.72,3263030
14/04/2021,DPZ,390.64,396.27,387.62,394.61,401482
15/04/2021,PBPB,6.1,6.16,5.88,6.16,95560
15/04/2021,SBUX,116.66,116.89,114.78,115.1,5079094
15/04/2021,CMG,1542.39,1542.39,1520,1527,231747
15/04/2021,WEN,22.28,22.36,21.985,22.04,1992896
15/04/2021,DPZ,392.99,393.43,388.4,392,454046
16/04/2021,PBPB,6.15,6.27,6.06,6.11,192823
16/04/2021,SBUX,118.34,118.5,116.94,117.82,5777860
16/04/2021,CMG,1535.04,1558.8799,1526.795,1550,187115
16/04/2021,WEN,22.47,22.54,22.28,22.37,2034772
16/04/2021,DPZ,394.83,396.01,392.31,395,253665
19/04/2021,PBPB,6.175,6.3,5.92,6.17,156508
19/04/2021,SBUX,117.6,118.98,117.04,118.17,4889684
19/04/2021,CMG,1550.01,1560.83,1523.35,1525.81,340989
19/04/2021,WEN,22.62,22.73,22.47,22.61,1678631
19/04/2021,DPZ,397.96,399.39,393.58,393.58,407665
20/04/2021,PBPB,5.94,6.21,5.87,6.14,115140
20/04/2021,SBUX,116.27,117.2594,115.35,116.96,5662376
20/04/2021,CMG,1532.09,1554.99,1513,1554.99,236025
20/04/2021,WEN,22.77,23.06,22.55,22.62,3281956
20/04/2021,DPZ,398.05,402.16,396.51,398.28,563592
21/04/2021,PBPB,5.95,6.07,5.84,5.92,138316
21/04/2021,SBUX,116.74,117.26,115.86,116.09,4397440
21/04/2021,CMG,1507.62,1535.81,1497.05,1533.05,509845
21/04/2021,WEN,22.35,22.8199,22.34,22.7595,2156229
21/04/2021,DPZ,394.8,398.14,393.588,398.14,348442
22/04/2021,PBPB,5.95,6.14,5.91,5.94,81589
22/04/2021,SBUX,115.92,116.88,115.225,116.8684,5745110
22/04/2021,CMG,1480,1538.99,1464.0698,1527.74,671058
22/04/2021,WEN,22.62,22.78,22.38,22.4,2067959
22/04/2021,DPZ,398.76,400.58,393.5,396.05,429572
23/04/2021,PBPB,5.99,6.06,5.87,5.97,58928
23/04/2021,SBUX,117.56,117.98,115.84,116.02,4559282
23/04/2021,CMG,1468.53,1485.05,1461,1482,374831
23/04/2021,WEN,22.6,22.71,22.411,22.57,1651072
23/04/2021,DPZ,397.71,401.02,395.5,399.55,368445
26/04/2021,PBPB,5.95,6.13,5.93,5.97,44505
26/04/2021,SBUX,115.92,117.25,115.06,116.95,5924931
26/04/2021,CMG,1470.79,1475.5,1453.49,1468.26,335637
26/04/2021,WEN,22.21,22.78,22.19,22.69,2163743
26/04/2021,DPZ,400.21,402.67,395.61,398.94,434753
27/04/2021,PBPB,6.02,6.13,5.91,6,71167
27/04/2021,SBUX,116.15,116.3899,115.27,115.67,7260927
27/04/2021,CMG,1468.87,1494.61,1465.54,1479.26,228504
27/04/2021,WEN,22.28,22.465,22.17,22.22,2382351
27/04/2021,DPZ,401.03,403.38,399.49,400.02,456648
28/04/2021,PBPB,6.04,6.08,5.92,6,25472
28/04/2021,SBUX,112.4,114.1499,111.61,113.44,14793493
28/04/2021,CMG,1476.16,1481.9043,1459.921,1477.75,211444
28/04/2021,WEN,22.27,22.305,22.1,22.21,1658031
28/04/2021,DPZ,403.95,408.74,399.47,401.03,904109
29/04/2021,PBPB,6.37,6.4,6,6.04,67950
29/04/2021,SBUX,114.63,115.1499,112.76,113.21,8936555
29/04/2021,CMG,1484.11,1489.71,1459.11,1470.95,217877
29/04/2021,WEN,22.62,22.675,22.38,22.39,1238728
29/04/2021,DPZ,415.98,419.36,391.2636,401.44,1139043
30/04/2021,PBPB,6.11,6.42,6.09,6.33,119136
30/04/2021,SBUX,114.49,114.95,113.49,114,6478714
30/04/2021,CMG,1492.03,1501.6499,1479,1480,263188
30/04/2021,WEN,22.57,22.77,22.4776,22.62,1538440
30/04/2021,DPZ,422.34,428.78,415.74,415.98,733885
03/05/2021,PBPB,6.5,6.53,6.09,6.18,74369
03/05/2021,SBUX,115.72,116.74,115.13,115.18,5049806
03/05/2021,CMG,1471.04,1500,1470,1500,212534
03/05/2021,WEN,22.8,22.87,22.62,22.71,1251709
03/05/2021,DPZ,433.59,435.67,424.64,426.8,793522
04/05/2021,PBPB,6.28,6.5,6.22,6.5,139777
04/05/2021,SBUX,114.11,115.4,113.535,115.15,6265098
04/05/2021,CMG,1450,1466,1432.3,1466,249686
04/05/2021,WEN,22.9,22.95,22.65,22.77,1842902
04/05/2021,DPZ,433.99,436.63,430,430.82,744550
05/05/2021,PBPB,6.12,6.45,6.0889,6.26,84925
05/05/2021,SBUX,113.48,114.88,113.16,114.21,4677689
05/05/2021,CMG,1426.5,1459.29,1420.47,1459.29,127733
05/05/2021,WEN,22.64,22.9323,22.405,22.91,1387984
05/05/2021,DPZ,431.89,436,428.1,436,510927
06/05/2021,PBPB,6.24,6.26,6.035,6.12,78296
06/05/2021,SBUX,114.74,114.81,113.1,113.65,4113286
06/05/2021,CMG,1411.41,1427.83,1392.21,1425.69,287509
06/05/2021,WEN,22.8,22.96,22.62,22.81,1270759
06/05/2021,DPZ,430.03,436.52,428.44,434.48,525162
07/05/2021,PBPB,7.17,7.4,6.0398,6.29,635653
07/05/2021,SBUX,114.34,115.84,114.24,115.11,4867501
07/05/2021,CMG,1426.05,1440.89,1420.94,1422.98,188309
07/05/2021,WEN,22.8,22.94,22.68,22.82,3420242
07/05/2021,DPZ,432.47,434.26,430.6,430.6,566054
10/05/2021,PBPB,7.21,7.32,7.04,7.2,196279
10/05/2021,SBUX,114.3,116.085,114.21,114.57,5759483
10/05/2021,CMG,1391.84,1410,1390.32,1405,235710
10/05/2021,WEN,22.73,23.1,22.72,22.85,7328169
10/05/2021,DPZ,431.07,435.5,428.34,432.58,596658
11/05/2021,PBPB,7.41,7.74,7.02,7.18,276425
11/05/2021,SBUX,113.55,113.69,112.17,113.32,7775369
11/05/2021,CMG,1393.25,1401,1360.0101,1374.51,353350
11/05/2021,WEN,22.8,22.935,22.18,22.615,5246708
11/05/2021,DPZ,422.34,430.01,419.49,428.62,730639
12/05/2021,PBPB,6.87,7.42,6.62,7.29,229527
12/05/2021,SBUX,109.79,112.39,109.56,111.87,7965263
12/05/2021,CMG,1342.02,1384.96,1338.01,1380.3,286172
12/05/2021,WEN,22.48,24.18,22.14,24.07,8557215
12/05/2021,DPZ,425.44,447.5,419.24,420,1772169
13/05/2021,PBPB,7.11,7.48,6.91,6.97,143226
13/05/2021,SBUX,110.49,111.18,109.155,110.16,7999752
13/05/2021,CMG,1322.7,1357.95,1320,1350.33,249182
13/05/2021,WEN,22.51,23,22.415,22.92,4248609
13/05/2021,DPZ,422.4,431.66,422.29,425.28,594941
14/05/2021,PBPB,6.9,7.39,6.89,7.23,115289
14/05/2021,SBUX,111.2,111.59,110.25,111.01,6836260
14/05/2021,CMG,1356.21,1364.01,1330.18,1333.88,211550
14/05/2021,WEN,23.4,23.505,22.56,22.65,3357647
14/05/2021,DPZ,427.29,430.08,423.51,424.31,636238
17/05/2021,PBPB,6.84,7.05,6.59,6.93,99568
17/05/2021,SBUX,110.98,111.27,109.83,111.22,4521204
17/05/2021,CMG,1331.58,1354,1321.55,1348,228216
17/05/2021,WEN,23.24,23.5,23.005,23.3,4042647
17/05/2021,DPZ,432.86,435.08,428.2,428.2,713795
18/05/2021,PBPB,6.89,7.14,6.85,6.87,91858
18/05/2021,SBUX,111.07,112.21,111.01,111.37,5177382
18/05/2021,CMG,1324.51,1347.4,1314,1340,247349
18/05/2021,WEN,23.4,23.66,23.14,23.14,2074996
18/05/2021,DPZ,432.86,441.79,432.68,433.78,695499
19/05/2021,PBPB,6.74,6.86,6.53,6.73,51277
19/05/2021,SBUX,109.67,109.94,108.88,109.6,5997454
19/05/2021,CMG,1307.19,1316.93,1295.1,1309,275232
19/05/2021,WEN,23.57,23.615,23.19,23.24,2976123
19/05/2021,DPZ,431.95,434.89,424.46,429.36,564846
20/05/2021,PBPB,6.8,6.89,6.62,6.72,63459
20/05/2021,SBUX,111.41,111.69,109.87,109.98,5345545
20/05/2021,CMG,1341.78,1353.18,1336,1338.13,366418
20/05/2021,WEN,23.83,23.94,23.61,23.71,2264944
20/05/2021,DPZ,428.94,437.62,428.345,430.3,1039053
21/05/2021,PBPB,7.29,7.35,6.78,6.84,122029
21/05/2021,SBUX,110.92,112.22,110.57,111.63,5146620
21/05/2021,CMG,1330,1355.4,1327.79,1348.31,243521
21/05/2021,WEN,23.59,23.95,23.46,23.85,5905720
21/05/2021,DPZ,427.65,432.07,425.7407,429.5,870852
24/05/2021,PBPB,7.1,7.29,7.02,7.29,66909
24/05/2021,SBUX,112.52,113.03,111.52,111.798,5436295
24/05/2021,CMG,1342.36,1358.07,1333.82,1339,244483
24/05/2021,WEN,23.25,23.72,23.23,23.68,2315104
24/05/2021,DPZ,420.9,433.14,420.69,429.19,695687
25/05/2021,PBPB,6.89,7.28,6.86,7.12,111435
25/05/2021,SBUX,112.63,113.15,112.18,112.9152,5391837
25/05/2021,CMG,1346.13,1356.42,1334.39,1351.38,233547
25/05/2021,WEN,23.17,23.395,23.04,23.36,1680043
25/05/2021,DPZ,421.04,422.325,414,416.52,702646
26/05/2021,PBPB,6.86,7.08,6.81,6.82,68823
26/05/2021,SBUX,112.85,113.866,112.63,113.295,3841607
26/05/2021,CMG,1345.81,1372.955,1342.78,1355.63,290042
26/05/2021,WEN,23.55,23.57,23.065,23.07,2123021
26/05/2021,DPZ,420.69,424.64,419.28,421.64,429301
27/05/2021,PBPB,7.02,7.1,6.85,6.97,33329
27/05/2021,SBUX,113.51,114.09,112.755,113.47,7378437
27/05/2021,CMG,1365.6,1374.28,1344.72,1353.88,307181
27/05/2021,WEN,23.02,23.62,22.93,23.59,2606658
27/05/2021,DPZ,423.97,426.14,418.785,421.94,471789
28/05/2021,PBPB,6.89,7.09,6.81,7.05,54042
28/05/2021,SBUX,113.88,114.35,113.05,114.35,4239973
28/05/2021,CMG,1371.98,1381.93,1357.33,1366,254162
28/05/2021,WEN,23.22,23.25,22.85,22.95,1686304
28/05/2021,DPZ,426.87,429.4,421.23,421.23,458350
01/06/2021,PBPB,6.74,7.09,6.66,6.99,61707
01/06/2021,SBUX,113.34,114.6237,113.1,114.558,4306926
01/06/2021,CMG,1361.13,1378.69,1342.18,1372,349864
01/06/2021,WEN,23.2,23.32,23.09,23.215,1738594
01/06/2021,DPZ,423,430.94,422.3,430.33,434796
